Attribute,CV terms,Definition
,10x scATAC-seq,A single cell ATAC-seq method that utilizes 10x Chromium technology to profile chromatin accessibility at single-cell resolution.
,Visium Spatial Gene Expression,A spatial transcriptomics method developed by 10x Genomics that measures either the whole transcriptome or a defined set of transcripts in intact tissue sections and maps where gene activity is occurring.
,Fluidigm C1,"A microfluidic-based transcription profiling assay technique used to analyze gene expression at single-cell resolution. It automates cell capture, lysis, reverse transcription, and cDNA amplification, enabling high-resolution, full-length transcriptome analysis from individual cells."
,Drop-seq,"A microfluidic, droplet-based single-cell RNA sequencing method that enables high-throughput transcriptional profiling of thousands of individual cells."
,Smart-seq2,A full-length single-cell RNA sequencing (scRNA-seq) assay that enables sensitive and accurate transcription profiling by capturing entire transcripts from individual cells using a plate-based method.
,Smart-seq3,"An advanced plate-based single-cell RNA sequencing (scRNA-seq) assay that captures both full-length transcripts and 5′ transcript counts, enabling highly sensitive and quantitative gene expression profiling at single-cell resolution. Smart-seq3 improves upon Smart-seq2 by adding unique molecular identifiers (UMIs) at the 5′ end, allowing for more accurate quantification of gene expression and detection of transcript isoforms."
,Smart-seq v4,"A plate-based full-length single-cell RNA sequencing (scRNA-seq) assay that utilizes SMART (Switching Mechanism at the 5' end of RNA Template) technology to provide highly sensitive and accurate transcriptome profiling from individual cells, capturing entire transcripts for isoform-level analysis."
,SPLiT-seq,Split Pool Ligation-based Transcriptome sequencing(SPLiT-seq) is a single-cell RNA sequencing technique that uses combinatorial barcoding through multiple rounds of split-pool processing to label RNA from thousands of individual cells without the need for physical isolation or microfluidics.
,,
,,
device,Ontology for BioMedical Investigations (OBI),https://www.ebi.ac.uk/ols4/ontologies/obi/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FOBI_0000968?lang=en
,"PacBio Sequel,OBI:0002632","A DNA sequencer built upon single molecule real-time sequencing technology, optimized for generation with long reads and high consensus accuracy, and manufactured by the Pacific Biosciences corporation"
,"PacBio Sequel II,OBI:0002633","A DNA sequencer built upon single molecule real-time sequencing technology, optimized for generation of highly accurate (""HiFi"") long reads, and which is manufactured by the Pacific Biosciences corporation."
,PacBio Sequel IIe,"A DNA sequencer built upon single molecule real-time sequencing technology, and manufactured by the Pacific Biosciences corporation, optimized for generation of highly accurate (""HiFi"") long reads. The Sequel IIe system is the next instrument evolution of Sequel II, with increased computational capacity and advanced on-instrument data processing, helping in discoveries made possible with comprehensive views of genomes, transcriptomes and epigenomes."
